# TerraRad Tech AG
# PoLRa 3.2
# SN: 11
# FW version: v3.2.3
# offsetHPol: 1.0543062995332517
# offsetVPol: 3.443144175046205
# timezone: CET
Year,Month,Day,Time,UnixTime,uacs,urs,up1,up2,Tir,Tacs,Trs,Taux,Tp1,uacs_std,urs_std,up1_std,up2_std,nsubsamp,t_1s,t_line
2022 11 02 18:00:05 1667408405.86 1025.2417 1086.3232 1034.6269 1039.1442 0.00  300.96  300.77  305.27  282.34  0.64  0.65  0.92  0.71  25 16.22 63.19
2022 11 02 18:00:05 1667408405.93 1025.5172 1086.1837 1034.1888 1038.5323 0.00  300.96  300.77  305.27  282.34  0.91  0.93  0.88  0.89  25 15.78 62.79
2022 11 02 18:00:05 1667408405.99 1025.0353 1086.4522 1034.1194 1039.0782 0.00  300.96  300.77  305.27  282.34  1.21  1.03  0.60  0.76  25 15.90 62.92
2022 11 02 18:00:06 1667408406.05 1024.9542 1086.5365 1034.5503 1038.8779 0.00  300.96  300.77  305.27  282.34  0.84  1.06  0.96  0.98  25 15.57 62.64
2022 11 02 18:00:06 1667408406.12 1025.2072 1086.2569 1034.4714 1038.7330 0.00  300.96  300.77  305.27  282.27  0.76  0.63  0.93  1.06  25 15.78 62.78
2022 11 02 18:00:06 1667408406.18 1025.4998 1086.5750 1033.9097 1038.7473 0.00  300.96  300.71  305.27  282.27  0.81  0.80  0.88  0.81  25 15.91 62.39
2022 11 02 18:00:06 1667408406.24 1024.9311 1086.4797 1034.2561 1039.3758 0.00  300.96  300.71  305.27  282.27  0.76  0.84  0.91  0.90  25 15.81 62.87
2022 11 02 18:00:06 1667408406.30 1024.9657 1086.4192 1034.5774 1039.2907 0.00  300.96  300.71  305.34  282.46  0.90  0.56  0.89  0.73  25 15.79 62.59
2022 11 02 18:00:06 1667408406.37 1025.1936 1086.5048 1034.1547 1038.7121 0.00  300.96  300.71  305.34  282.46  1.02  0.87  0.91  0.59  25 15.88 62.58
2022 11 02 18:00:06 1667408406.43 1024.9989 1086.5586 1034.3602 1038.2609 0.00  300.96  300.77  305.34  282.46  0.61  0.86  0.53  0.75  25 15.88 62.88
2022 11 02 18:00:06 1667408406.50 1025.2707 1086.6128 1034.9006 1039.5022 0.00  300.96  300.77  305.27  282.46  0.76  0.83  0.62  0.69  25 15.85 64.32
2022 11 02 18:00:06 1667408406.56 1025.6028 1086.7429 1034.6558 1038.6834 0.00  300.90  300.77  305.27  282.27  0.85  0.76  0.46  0.88  25 16.52 65.06
2022 11 02 18:00:06 1667408406.63 1025.0711 1086.6819 1034.9245 1038.5247 0.00  300.90  300.77  305.27  282.27  0.83  0.61  0.80  0.93  25 16.00 63.90
2022 11 02 18:00:06 1667408406.69 1025.1482 1086.5180 1034.5315 1039.2581 0.00  300.90  300.77  305.27  282.27  1.33  0.86  1.01  0.63  25 16.01 63.94
2022 11 02 18:00:06 1667408406.76 1024.9654 1086.3328 1034.5873 1038.9590 0.00  300.90  300.77  305.27  282.27  1.16  0.73  1.06  0.92  25 16.32 64.15
2022 11 02 18:00:06 1667408406.82 1025.4677 1086.5004 1034.1884 1038.8276 0.00  300.96  300.77  305.27  282.34  0.96  0.66  1.03  0.86  25 16.31 64.20
2022 11 02 18:00:06 1667408406.89 1025.3727 1086.3925 1034.8127 1038.8344 0.00  300.96  300.71  305.27  282.34  0.77  0.87  0.96  0.80  25 16.28 64.15
2022 11 02 18:00:06 1667408406.95 1024.8967 1085.8644 1035.2430 1038.4534 0.00  300.96  300.71  305.27  282.34  0.82  0.86  0.97  1.14  25 16.08 63.95
2022 11 02 18:00:07 1667408407.01 1025.0852 1086.8323 1035.0352 1038.9066 0.00  300.96  300.71  305.27  282.34  1.04  1.06  0.89  0.79  25 16.24 64.16
