# TerraRad Tech AG
# PoLRa 3.2
# SN: 11
# FW version: v3.2.3
# offsetHPol: 1.0543062995332517
# offsetVPol: 3.443144175046205
# timezone: CET
Year,Month,Day,Time,UnixTime,uacs,urs,up1,up2,Tir,Tacs,Trs,Taux,Tp1,uacs_std,urs_std,up1_std,up2_std,nsubsamp,t_1s,t_line
2022 11 02 17:00:06 1667404806.08 1024.6703 1085.3484 1033.7942 1037.7668 0.00  302.65  302.46  306.96  285.46  0.59  1.03  0.80  1.02  25 16.14 63.08
2022 11 02 17:00:06 1667404806.14 1024.6185 1085.6369 1033.7429 1038.3706 0.00  302.65  302.46  306.96  285.40  0.63  0.84  0.69  0.94  25 15.81 62.84
2022 11 02 17:00:06 1667404806.21 1024.6812 1085.2969 1034.0909 1037.8557 0.00  302.71  302.46  306.96  285.40  1.12  0.74  1.11  0.91  25 15.89 62.61
2022 11 02 17:00:06 1667404806.27 1024.2780 1085.6253 1033.6810 1038.1073 0.00  302.71  302.46  306.96  285.40  0.78  0.84  0.59  0.93  25 15.86 62.92
2022 11 02 17:00:06 1667404806.33 1024.4818 1086.1286 1033.5061 1037.8740 0.00  302.71  302.46  306.96  285.40  1.01  0.83  0.96  0.67  25 15.84 62.85
2022 11 02 17:00:06 1667404806.39 1024.5808 1085.4485 1034.0535 1038.1756 0.00  302.71  302.46  306.96  285.34  0.98  0.80  1.07  0.79  25 15.89 62.64
2022 11 02 17:00:06 1667404806.46 1024.3403 1085.1905 1033.7150 1037.6477 0.00  302.65  302.46  306.96  285.34  1.10  0.92  0.77  0.98  25 15.87 62.60
2022 11 02 17:00:06 1667404806.52 1024.6171 1085.3947 1033.9103 1038.0582 0.00  302.65  302.46  306.96  285.34  0.95  0.84  0.89  0.64  25 15.86 62.91
2022 11 02 17:00:06 1667404806.58 1024.9507 1085.8322 1034.4124 1037.6084 0.00  302.65  302.46  306.96  285.34  0.72  0.88  0.73  0.80  25 15.91 62.89
2022 11 02 17:00:06 1667404806.65 1024.1149 1085.3592 1033.6004 1038.2030 0.00  302.65  302.46  306.96  285.34  0.93  0.97  0.85  0.81  25 15.89 62.92
2022 11 02 17:00:06 1667404806.71 1024.5518 1085.7722 1033.0713 1037.8930 0.00  302.65  302.46  306.96  285.34  0.79  0.52  0.73  0.85  25 16.09 64.57
2022 11 02 17:00:06 1667404806.77 1024.4016 1085.1909 1033.2818 1038.3702 0.00  302.65  302.46  306.96  285.34  0.89  0.88  1.10  0.94  25 16.46 64.45
2022 11 02 17:00:06 1667404806.84 1024.4546 1085.6754 1033.8388 1038.1037 0.00  302.65  302.46  306.96  285.46  1.01  1.11  0.72  0.53  25 16.05 63.90
2022 11 02 17:00:06 1667404806.90 1024.7734 1085.0721 1033.9321 1038.0431 0.00  302.65  302.46  306.96  285.46  0.98  0.79  0.94  1.12  25 16.10 64.02
2022 11 02 17:00:06 1667404806.97 1024.7937 1085.6017 1034.1944 1037.6181 0.00  302.65  302.46  306.96  285.46  1.00  0.94  0.71  0.76  25 16.25 64.16
2022 11 02 17:00:07 1667404807.03 1025.3194 1085.4100 1033.7067 1038.5915 0.00  302.65  302.46  306.96  285.46  0.74  0.86  0.87  1.10  25 16.31 64.19
2022 11 02 17:00:07 1667404807.10 1024.5818 1085.1647 1033.9084 1037.9656 0.00  302.65  302.46  306.96  285.34  1.24  0.77  0.72  1.15  25 16.04 63.94
2022 11 02 17:00:07 1667404807.16 1024.7204 1085.2494 1033.8188 1037.6528 0.00  302.71  302.46  306.96  285.34  0.67  1.08  0.72  0.98  25 16.35 64.19
2022 11 02 17:00:07 1667404807.23 1023.8436 1085.8140 1034.1092 1038.0261 0.00  302.71  302.46  306.96  285.34  1.11  1.10  0.95  0.91  25 16.37 64.24
2022 11 02 17:00:07 1667404807.29 1024.4074 1085.4828 1034.0037 1038.4597 0.00  302.71  302.46  306.96  285.34  1.00  0.76  0.90  0.66  25 16.02 63.90
2022 11 02 17:00:07 1667404807.35 1024.4441 1085.3533 1033.5876 1038.3803 0.00  302.71  302.46  307.02  285.40  0.80  0.77  0.98  1.01  25 16.36 63.92
2022 11 02 17:00:07 1667404807.42 1023.9318 1085.0556 1033.7513 1037.8473 0.00  302.65  302.46  307.02  285.40  1.02  0.86  1.17  0.80  25 16.06 63.91
2022 11 02 17:00:07 1667404807.48 1024.8286 1085.6060 1033.7255 1038.3627 0.00  302.65  302.46  307.02  285.40  0.88  0.81  0.87  0.87  25 16.31 63.94
2022 11 02 17:00:07 1667404807.55 1024.3785 1085.9646 1033.7443 1038.2078 0.00  302.65  302.46  307.02  285.27  1.06  0.90  0.74  0.67  25 16.31 63.91
2022 11 02 17:00:07 1667404807.61 1024.6289 1085.8717 1033.7505 1038.3166 0.00  302.65  302.46  306.96  285.27  1.16  0.87  0.83  0.97  25 16.32 64.19
2022 11 02 17:00:07 1667404807.68 1024.3680 1085.0132 1033.6661 1038.2173 0.00  302.65  302.46  306.96  285.27  0.86  0.67  0.79  1.02  25 16.33 64.22
2022 11 02 17:00:07 1667404807.74 1024.7114 1085.5089 1033.6522 1038.0336 0.00  302.65  302.46  306.96  285.27  0.70  1.09  0.75  0.82  25 16.26 64.16
2022 11 02 17:00:07 1667404807.80 1024.3384 1085.5448 1033.6379 1037.8563 0.00  302.65  302.46  306.96  285.46  1.02  0.99  0.74  0.97  25 16.27 63.92
2022 11 02 17:00:07 1667404807.87 1024.9931 1085.8965 1033.8198 1038.0387 0.00  302.65  302.46  307.02  285.46  0.91  1.10  0.81  1.25  25 16.28 64.19
2022 11 02 17:00:07 1667404807.93 1024.3906 1085.4919 1033.8792 1038.1415 0.00  302.65  302.46  307.02  285.46  1.01  0.75  0.90  0.63  25 16.29 64.14
