# TerraRad Tech AG
# PoLRa 3.2
# SN: 11
# FW version: v3.2.3
# offsetHPol: 1.0543062995332517
# offsetVPol: 3.443144175046205
# timezone: CET
Year,Month,Day,Time,UnixTime,uacs,urs,up1,up2,Tir,Tacs,Trs,Taux,Tp1,uacs_std,urs_std,up1_std,up2_std,nsubsamp,t_1s,t_line
2022 11 02 16:00:08 1667401208.10 1025.2560 1086.4131 1035.0200 1038.6163 0.00  300.90  300.84  302.27  288.90  1.00  0.79  0.82  0.61  25 15.86 62.57
2022 11 02 16:01:06 1667401266.26 1024.9576 1086.4678 1034.5106 1038.8079 0.00  301.40  301.21  302.90  288.52  1.14  0.84  0.57  0.41  25 16.08 62.80
2022 11 02 16:01:06 1667401266.32 1025.1784 1086.1442 1034.2065 1038.3409 0.00  301.40  301.21  302.90  288.52  1.08  0.82  0.99  0.95  25 16.01 62.98
2022 11 02 16:01:06 1667401266.39 1024.6015 1085.8980 1034.3878 1038.0038 0.00  301.40  301.21  302.90  288.46  0.80  0.68  0.80  1.08  25 15.91 62.37
2022 11 02 16:01:06 1667401266.45 1024.5861 1085.6285 1033.8838 1038.9992 0.00  301.40  301.21  302.90  288.46  0.96  0.73  0.93  0.62  25 15.84 62.59
2022 11 02 16:01:06 1667401266.51 1025.3292 1086.4388 1034.4920 1039.0384 0.00  301.40  301.21  302.90  288.46  0.93  0.89  0.77  0.84  25 15.90 62.87
2022 11 02 16:01:06 1667401266.57 1025.5660 1086.4344 1033.7753 1038.3305 0.00  301.40  301.27  302.90  288.46  0.71  1.02  0.99  1.01  25 15.88 62.39
2022 11 02 16:01:06 1667401266.64 1024.5549 1085.4949 1034.4556 1037.9129 0.00  301.40  301.27  302.90  288.52  1.07  0.82  0.82  1.07  25 15.82 62.82
2022 11 02 16:01:06 1667401266.70 1024.8396 1086.1262 1034.5640 1038.7399 0.00  301.40  301.27  302.90  288.52  0.69  0.95  0.91  0.90  25 15.91 62.67
2022 11 02 16:01:06 1667401266.76 1024.5997 1085.7368 1034.0335 1038.2036 0.00  301.40  301.21  302.90  288.52  0.87  1.12  0.84  0.89  25 15.90 62.90
2022 11 02 16:01:06 1667401266.83 1024.8622 1086.1623 1034.2564 1038.3662 0.00  301.40  301.21  302.90  288.52  0.86  1.00  0.88  0.60  25 16.14 62.90
2022 11 02 16:01:06 1667401266.89 1024.5056 1085.7710 1034.1533 1038.2760 0.00  301.40  301.21  302.90  288.46  1.06  0.81  0.78  0.67  25 15.82 64.24
2022 11 02 16:01:06 1667401266.95 1025.1182 1085.9535 1034.1335 1038.5268 0.00  301.40  301.21  302.90  288.46  1.23  0.58  0.87  0.91  25 16.46 65.02
2022 11 02 16:01:07 1667401267.02 1025.0001 1085.7014 1034.2400 1038.2415 0.00  301.40  301.27  302.90  288.46  1.09  1.16  1.07  0.76  25 16.06 63.65
2022 11 02 16:01:07 1667401267.08 1024.3461 1085.9637 1034.3721 1038.4872 0.00  301.40  301.27  302.90  288.46  0.83  0.91  0.94  1.03  25 16.03 63.95
2022 11 02 16:01:07 1667401267.15 1025.1004 1085.9886 1034.1575 1038.4476 0.00  301.40  301.27  302.90  288.46  0.98  1.21  0.82  0.70  25 16.33 63.92
2022 11 02 16:01:07 1667401267.21 1024.8876 1085.7063 1034.1171 1038.4615 0.00  301.40  301.27  302.90  288.46  0.96  0.75  0.61  0.71  25 16.29 63.61
2022 11 02 16:01:07 1667401267.28 1024.6081 1085.7294 1033.9489 1038.2289 0.00  301.40  301.21  302.90  288.46  1.10  0.67  0.75  0.72  25 16.02 63.90
2022 11 02 16:01:07 1667401267.34 1024.5860 1085.7358 1034.4583 1038.5691 0.00  301.40  301.21  302.90  288.52  0.84  1.32  0.91  0.74  25 16.31 64.19
2022 11 02 16:01:07 1667401267.40 1024.4856 1086.4062 1034.1417 1038.3808 0.00  301.40  301.21  302.90  288.52  0.70  0.77  1.03  0.72  25 16.29 63.92
2022 11 02 16:01:07 1667401267.47 1024.5304 1085.4650 1034.6996 1038.1754 0.00  301.40  301.21  302.90  288.52  1.14  0.52  0.86  0.53  25 16.27 64.17
2022 11 02 16:01:07 1667401267.53 1024.1160 1086.0463 1034.7306 1038.1275 0.00  301.40  301.21  302.90  288.52  1.07  0.97  0.76  0.72  25 16.32 64.21
2022 11 02 16:01:07 1667401267.60 1024.6522 1086.0553 1034.3656 1038.1899 0.00  301.40  301.21  302.90  288.52  0.85  1.48  0.87  0.82  25 16.29 64.14
2022 11 02 16:01:07 1667401267.66 1025.0415 1085.5781 1034.4532 1038.1271 0.00  301.40  301.21  302.90  288.52  0.89  1.00  0.87  0.61  25 16.09 63.93
2022 11 02 16:01:07 1667401267.73 1024.5776 1085.7363 1034.2366 1038.1868 0.00  301.40  301.21  302.90  288.52  0.96  0.80  0.58  0.77  25 16.09 63.91
2022 11 02 16:01:07 1667401267.79 1024.5675 1086.3224 1034.1299 1038.9208 0.00  301.40  301.21  302.90  288.52  1.27  0.89  0.65  0.97  25 16.06 63.66
2022 11 02 16:01:07 1667401267.85 1024.6471 1085.9127 1034.3753 1038.5980 0.00  301.40  301.21  302.96  288.46  0.96  0.92  0.80  0.88  25 16.00 63.88
2022 11 02 16:01:07 1667401267.92 1024.8407 1086.4251 1034.8532 1038.1955 0.00  301.40  301.21  302.96  288.46  0.99  0.88  1.00  0.76  25 16.04 63.95
2022 11 02 16:01:07 1667401267.98 1024.5112 1086.7730 1034.6279 1038.6451 0.00  301.40  301.21  302.96  288.46  0.55  0.74  0.92  1.02  25 16.00 63.66
2022 11 02 16:01:08 1667401268.05 1024.4061 1085.8850 1034.5909 1038.1069 0.00  301.40  301.21  302.96  288.52  0.90  0.89  1.03  1.10  25 16.26 64.17
2022 11 02 16:01:08 1667401268.11 1025.2035 1086.1394 1034.2863 1038.8317 0.00  301.40  301.21  302.96  288.52  0.88  0.67  0.98  1.00  25 16.30 64.14
2022 11 02 16:02:06 1667401326.25 1024.4568 1085.7402 1034.4045 1038.1122 0.00  301.71  301.52  303.52  288.21  1.04  0.88  0.62  0.96  25 16.11 63.36
2022 11 02 16:02:06 1667401326.31 1024.5955 1085.3889 1034.1503 1038.6723 0.00  301.71  301.52  303.52  288.21  0.78  0.68  0.81  1.01  25 15.75 62.82
2022 11 02 16:02:06 1667401326.38 1024.7180 1085.7252 1034.4096 1038.0395 0.00  301.71  301.52  303.52  288.34  0.93  0.73  1.23  0.80  25 15.83 62.85
2022 11 02 16:02:06 1667401326.44 1024.6725 1086.0306 1034.5231 1038.1644 0.00  301.71  301.52  303.59  288.34  0.86  0.59  0.69  0.61  25 15.89 62.89
2022 11 02 16:02:06 1667401326.50 1024.3994 1085.8068 1034.3510 1038.2149 0.00  301.71  301.52  303.59  288.34  0.65  0.90  0.86  1.00  25 15.80 62.86
2022 11 02 16:02:06 1667401326.57 1024.3430 1085.2512 1033.7964 1038.4225 0.00  301.71  301.52  303.59  288.27  0.90  1.16  0.84  1.08  25 15.85 62.87
2022 11 02 16:02:06 1667401326.63 1024.5267 1086.7352 1033.7245 1038.0363 0.00  301.71  301.52  303.59  288.27  0.79  0.95  1.16  1.02  25 15.82 62.83
2022 11 02 16:02:06 1667401326.69 1024.4335 1086.3935 1034.2443 1038.3354 0.00  301.65  301.46  303.59  288.27  1.17  1.15  0.86  0.99  25 15.92 62.59
2022 11 02 16:02:06 1667401326.75 1024.7554 1085.7651 1034.3887 1038.4750 0.00  301.65  301.46  303.59  288.27  0.87  1.05  0.78  0.60  25 15.90 62.73
2022 11 02 16:02:06 1667401326.82 1024.3117 1085.3351 1033.9727 1037.9759 0.00  301.65  301.46  303.59  288.27  1.22  0.86  1.30  0.75  25 16.09 62.83
2022 11 02 16:02:06 1667401326.88 1024.9843 1085.4960 1034.4824 1038.4540 0.00  301.65  301.46  303.59  288.27  0.85  1.07  0.73  1.06  25 15.79 63.67
2022 11 02 16:02:06 1667401326.95 1025.2290 1085.4582 1034.4718 1038.3971 0.00  301.71  301.52  303.65  288.27  0.83  1.01  0.80  0.92  25 16.19 64.96
2022 11 02 16:02:07 1667401327.01 1024.1770 1085.9161 1034.3760 1038.1010 0.00  301.71  301.52  303.65  288.27  1.17  0.84  0.97  0.53  25 16.35 64.25
2022 11 02 16:02:07 1667401327.08 1024.8046 1085.6070 1034.0291 1038.6930 0.00  301.71  301.52  303.65  288.27  1.01  0.99  0.89  0.75  25 15.99 63.89
2022 11 02 16:02:07 1667401327.14 1024.3831 1086.1334 1034.2133 1038.4963 0.00  301.71  301.52  303.65  288.27  0.88  1.03  0.95  0.99  25 16.16 64.05
2022 11 02 16:02:07 1667401327.21 1025.1229 1085.7686 1034.7159 1037.9820 0.00  301.71  301.52  303.59  288.27  0.75  0.86  1.13  0.70  25 16.08 63.91
2022 11 02 16:02:07 1667401327.27 1024.7073 1085.9217 1034.0602 1037.4192 0.00  301.71  301.52  303.59  288.27  0.98  0.88  0.83  0.68  25 16.08 63.92
2022 11 02 16:02:07 1667401327.34 1024.6258 1085.3431 1034.0042 1038.2357 0.00  301.71  301.52  303.59  288.27  1.15  1.08  0.94  0.86  25 16.03 63.92
2022 11 02 16:02:07 1667401327.40 1024.4477 1085.8196 1034.5795 1038.4255 0.00  301.71  301.52  303.65  288.27  1.00  0.93  0.68  0.97  25 16.03 63.89
2022 11 02 16:02:07 1667401327.46 1025.3098 1086.3994 1034.4647 1038.1271 0.00  301.71  301.52  303.65  288.27  0.99  1.08  0.99  0.95  25 16.07 63.89
2022 11 02 16:02:07 1667401327.53 1024.5683 1085.7532 1034.4336 1038.5890 0.00  301.71  301.52  303.65  288.40  0.93  1.44  0.73  0.73  25 16.11 63.92
2022 11 02 16:02:07 1667401327.59 1024.7828 1085.8660 1034.3050 1038.5241 0.00  301.71  301.52  303.65  288.40  0.84  0.86  0.74  0.72  25 16.09 63.93
2022 11 02 16:02:07 1667401327.66 1024.7731 1085.7014 1034.2640 1038.1532 0.00  301.65  301.52  303.65  288.40  1.00  0.64  0.92  1.01  25 16.07 63.98
2022 11 02 16:02:07 1667401327.72 1024.1969 1086.0516 1033.8610 1037.7481 0.00  301.65  301.52  303.65  288.40  0.71  0.86  0.66  1.27  25 16.03 63.62
2022 11 02 16:02:07 1667401327.78 1024.5711 1086.0016 1033.5189 1038.1602 0.00  301.65  301.52  303.65  288.21  0.96  0.62  0.67  0.59  25 16.02 63.91
2022 11 02 16:02:07 1667401327.85 1024.7085 1085.7699 1034.2892 1037.7149 0.00  301.71  301.52  303.65  288.21  0.62  0.72  0.60  0.79  25 16.04 63.64
2022 11 02 16:02:07 1667401327.91 1024.6654 1085.8906 1035.0949 1038.6161 0.00  301.71  301.52  303.65  288.21  1.04  0.92  1.10  1.13  25 16.08 63.91
2022 11 02 16:02:07 1667401327.98 1023.8686 1086.1230 1034.3496 1038.1114 0.00  301.71  301.52  303.65  288.21  0.79  0.93  0.93  0.80  25 16.07 63.91
2022 11 02 16:02:08 1667401328.04 1024.4015 1085.4346 1034.3752 1038.0395 0.00  301.71  301.52  303.65  288.27  0.82  0.59  0.99  0.69  25 16.06 63.92
2022 11 02 16:02:08 1667401328.11 1024.7441 1085.7345 1034.5456 1038.4653 0.00  301.71  301.52  303.65  288.27  0.82  0.67  1.20  1.13  25 16.12 63.72
