# posix time,TBV (K),TBH (K),Soil Moisture (m^3/m^3),Tau (-),T_IR (K),T_RS (K),T_ACS (K),T_Ant1 (K),T_Ant2 (K),u_RS (mV),u_ACS (mV),u_V (mV),u_H (mV),STDOM(u_RS) (mV),STDOM(u_ACS) (mV),STDOM(u_V) (mV),STDOM(u_H) (mV),Gain (K/mV),Offset (K),TBV Residual (K),TBH Residual (K),Cost Function Value (K^2)
1.667383205980000019e+09,299.986,302.028,0.000,nan,273.150,310.090,309.770,312.340,297.210,1054.420,997.102,1052.424,1052.828,0.810,1.120,1.120,1.040,5.0616,-5026.9336,-17.155,-19.197,662.834
1.667383206049999952e+09,301.983,299.888,0.000,nan,273.150,310.090,309.770,312.340,297.210,1054.626,997.629,1053.034,1052.622,0.760,1.340,0.910,0.920,5.0901,-5058.0948,-19.152,-17.057,657.750
1.667383206109999895e+09,299.183,298.844,0.000,nan,273.150,310.090,309.770,312.340,297.460,1054.786,996.999,1052.614,1052.546,1.040,0.700,0.620,0.760,5.0205,-4985.4546,-16.352,-16.013,523.827
1.667383206170000076e+09,304.115,297.879,0.000,nan,273.150,310.090,309.770,312.340,297.460,1054.220,997.382,1053.050,1051.828,0.870,0.950,1.090,0.640,5.1043,-5071.0117,-21.284,-15.048,679.453
1.667383206230000019e+09,304.177,302.803,0.000,nan,273.150,310.090,309.770,312.400,297.460,1053.815,997.017,1052.657,1052.388,0.990,1.040,1.040,0.800,5.1080,-5072.7495,-21.347,-19.972,854.558
1.667383206299999952e+09,303.949,297.973,0.000,nan,273.150,310.090,309.770,312.400,297.460,1054.474,996.887,1053.255,1052.069,0.940,0.620,0.900,0.830,5.0379,-5002.2838,-21.118,-15.142,675.266
1.667383206359999895e+09,305.892,302.445,0.000,nan,273.150,310.090,309.770,312.400,297.400,1054.217,996.221,1053.378,1052.689,0.800,1.090,0.890,1.010,5.0024,-4963.5259,-23.061,-19.614,916.514
1.667383206420000076e+09,303.145,300.302,0.000,nan,273.150,310.090,309.770,312.270,297.400,1054.579,997.352,1053.209,1052.648,0.730,0.750,1.010,0.980,5.0697,-5036.2803,-20.315,-17.471,717.919
1.667383206490000010e+09,302.804,300.109,0.000,nan,273.150,310.090,309.770,312.270,297.400,1054.921,997.336,1053.475,1052.940,1.010,0.700,0.880,1.080,5.0381,-5004.6849,-19.973,-17.278,697.452
1.667383206549999952e+09,301.360,298.997,0.000,nan,273.150,310.090,309.770,312.270,297.400,1054.234,996.900,1052.509,1052.042,1.080,0.830,0.910,0.890,5.0602,-5024.5465,-18.529,-16.166,604.669
