# TerraRad Tech AG
# PoLRa 3.2
# SN: 08
# FW version: v3.2.3
# offsetHPol: 4.843296579859171
# offsetVPol: 4.726970800268247
# timezone: CET
Year,Month,Day,Time,UnixTime,uacs,urs,up1,up2,Tir,Tacs,Trs,Taux,Tp1,uacs_std,urs_std,up1_std,up2_std,nsubsamp,t_1s,t_line
2022 11 02 12:00:07 1667386807.91  995.6198 1051.8468 1046.2785 1045.2493 0.00  313.40  313.21  317.59  297.15  0.78  0.91  0.84  0.70  25 16.22 64.11
2022 11 02 12:01:06 1667386866.00  994.7073 1051.8321 1045.3186 1045.5635 0.00  313.34  313.15  317.52  296.96  0.96  1.18  0.74  1.08  25 16.12 63.11
2022 11 02 12:01:06 1667386866.06  994.8815 1051.8919 1045.6951 1045.2369 0.00  313.40  313.15  317.52  297.59  0.77  0.70  0.99  0.88  25 15.99 63.05
2022 11 02 12:01:06 1667386866.13  994.5970 1051.7233 1045.7957 1045.6529 0.00  313.40  313.15  317.59  297.59  0.97  1.04  0.55  1.03  25 15.54 62.58
2022 11 02 12:01:06 1667386866.19  994.6766 1051.9209 1046.2813 1045.5294 0.00  313.40  313.15  317.59  297.59  1.00  1.13  0.91  0.88  25 15.89 62.92
2022 11 02 12:01:06 1667386866.25  995.2413 1051.8075 1045.7709 1045.4659 0.00  313.40  313.15  317.59  297.59  0.92  0.84  0.90  1.21  25 15.86 62.62
2022 11 02 12:01:06 1667386866.32  994.9797 1051.8610 1045.6256 1045.8589 0.00  313.40  313.15  317.59  296.96  1.05  0.77  1.06  0.68  25 15.88 62.91
2022 11 02 12:01:06 1667386866.38  995.1756 1051.6285 1046.5959 1045.5806 0.00  313.40  313.21  317.59  296.96  0.88  0.93  0.51  0.66  25 15.84 62.87
2022 11 02 12:01:06 1667386866.44  995.1449 1051.7653 1045.9596 1045.2512 0.00  313.40  313.21  317.59  296.96  1.09  0.96  1.01  1.29  25 15.88 62.93
2022 11 02 12:01:06 1667386866.51  995.2245 1052.1678 1045.6672 1045.4796 0.00  313.40  313.21  317.59  296.96  0.97  1.02  0.80  1.04  25 15.87 62.89
2022 11 02 12:01:06 1667386866.57  994.8688 1051.7375 1045.6845 1045.2214 0.00  313.40  313.21  317.59  297.09  0.61  0.83  0.81  0.79  25 15.87 62.60
2022 11 02 12:01:06 1667386866.63  994.5320 1051.2709 1045.5955 1045.9886 0.00  313.40  313.15  317.52  297.09  1.23  0.84  1.17  0.70  25 15.90 62.92
2022 11 02 12:01:06 1667386866.69  994.7684 1052.4857 1046.3917 1046.0853 0.00  313.40  313.15  317.52  297.09  0.82  0.93  0.84  0.80  25 15.87 64.60
2022 11 02 12:01:06 1667386866.76  995.1180 1052.5158 1046.3351 1046.4026 0.00  313.34  313.15  317.52  297.09  0.87  1.14  0.98  0.89  25 16.45 65.00
2022 11 02 12:01:06 1667386866.83  995.3640 1052.5114 1046.3255 1045.9124 0.00  313.34  313.21  317.52  297.02  0.99  1.14  1.06  0.93  25 16.34 64.22
2022 11 02 12:01:06 1667386866.89  995.4753 1051.7157 1045.5675 1046.0589 0.00  313.34  313.21  317.52  297.02  0.96  1.18  1.04  0.86  25 16.00 63.88
2022 11 02 12:01:06 1667386866.95  995.3158 1052.4072 1046.4990 1046.5002 0.00  313.34  313.21  317.52  297.02  1.08  0.80  0.72  0.86  25 16.24 63.89
2022 11 02 12:01:07 1667386867.02  994.9592 1052.5539 1046.2142 1046.0084 0.00  313.34  313.21  317.52  297.27  0.99  0.91  0.72  1.04  25 16.25 64.16
2022 11 02 12:01:07 1667386867.08  995.4540 1052.3865 1046.3959 1045.5151 0.00  313.34  313.21  317.52  297.27  0.53  0.80  0.87  0.99  25 16.28 64.20
2022 11 02 12:01:07 1667386867.15  995.5138 1052.0279 1046.2335 1045.8949 0.00  313.34  313.21  317.52  297.27  1.28  0.99  0.83  0.69  25 16.28 64.17
2022 11 02 12:01:07 1667386867.21  995.2031 1052.2604 1045.4946 1046.2299 0.00  313.34  313.21  317.52  297.27  1.00  1.14  0.82  0.89  25 16.25 63.82
2022 11 02 12:01:07 1667386867.28  995.4004 1051.8955 1045.6470 1045.4977 0.00  313.34  313.21  317.52  297.09  0.92  0.89  1.15  1.34  25 16.03 63.95
2022 11 02 12:01:07 1667386867.34  994.8807 1052.3912 1046.1715 1045.8033 0.00  313.34  313.15  317.52  297.09  0.63  1.17  0.64  0.89  25 16.34 64.16
2022 11 02 12:01:07 1667386867.40  994.8586 1051.9347 1046.1839 1045.9686 0.00  313.34  313.15  317.52  297.09  1.33  1.11  0.93  0.85  25 16.10 63.90
2022 11 02 12:01:07 1667386867.47  995.3261 1052.3547 1046.4872 1045.9650 0.00  313.40  313.15  317.52  297.09  0.84  0.92  1.19  0.59  25 16.35 64.18
2022 11 02 12:01:07 1667386867.53  994.8311 1052.3490 1046.3703 1046.1528 0.00  313.40  313.15  317.52  296.96  1.03  0.67  0.87  0.65  25 16.07 63.92
2022 11 02 12:01:07 1667386867.60  995.5667 1052.2258 1046.1456 1046.3086 0.00  313.40  313.15  317.52  296.96  1.10  1.00  1.14  0.56  25 16.35 63.98
2022 11 02 12:01:07 1667386867.66  995.0776 1052.0027 1046.6386 1045.8048 0.00  313.40  313.15  317.52  296.96  1.15  0.78  0.93  0.81  25 16.20 64.11
2022 11 02 12:01:07 1667386867.73  995.4097 1052.3871 1045.8079 1045.8107 0.00  313.34  313.15  317.52  296.96  1.01  0.69  0.97  0.94  25 16.21 64.07
2022 11 02 12:01:07 1667386867.79  995.1406 1051.9720 1046.3089 1046.4549 0.00  313.34  313.15  317.52  297.09  1.24  1.03  0.73  0.87  25 15.74 63.60
2022 11 02 12:01:07 1667386867.85  995.6098 1052.0643 1046.3803 1046.2314 0.00  313.34  313.15  317.59  297.09  0.95  0.81  1.28  0.95  25 16.05 63.90
2022 11 02 12:02:05 1667386925.99  995.0958 1052.1014 1045.9610 1045.3912 0.00  313.34  313.15  317.59  297.21  1.02  1.09  0.76  0.92  25 16.10 62.83
2022 11 02 12:02:06 1667386926.05  995.0707 1051.8390 1045.8806 1045.1052 0.00  313.34  313.15  317.59  297.21  1.02  0.84  0.81  0.93  25 16.03 62.77
2022 11 02 12:02:06 1667386926.11  995.1659 1051.9277 1046.3672 1045.3645 0.00  313.34  313.15  317.59  297.21  0.87  1.01  0.90  0.89  25 15.86 62.58
2022 11 02 12:02:06 1667386926.18  995.1238 1051.6837 1046.0550 1045.1563 0.00  313.34  313.15  317.52  297.15  1.45  0.92  0.74  0.88  25 15.58 62.62
2022 11 02 12:02:06 1667386926.24  994.7526 1051.4640 1046.0594 1045.1524 0.00  313.34  313.15  317.52  297.15  0.98  0.82  1.07  1.04  25 15.90 62.93
2022 11 02 12:02:06 1667386926.30  994.7713 1051.8874 1046.0131 1045.5687 0.00  313.34  313.15  317.52  297.15  1.27  0.81  0.98  0.98  25 15.86 62.86
2022 11 02 12:02:06 1667386926.36  995.1170 1052.7577 1045.9563 1045.3459 0.00  313.34  313.09  317.52  297.15  0.83  1.13  1.08  0.70  25 15.88 62.92
2022 11 02 12:02:06 1667386926.43  995.2105 1051.8744 1045.5461 1045.8382 0.00  313.34  313.09  317.59  297.52  0.98  0.83  0.82  0.91  25 15.86 62.33
