# TerraRad Tech AG
# PoLRa 3.2
# SN: 08
# FW version: v3.2.3
# offsetHPol: 4.843296579859171
# offsetVPol: 4.726970800268247
# timezone: CET
Year,Month,Day,Time,UnixTime,uacs,urs,up1,up2,Tir,Tacs,Trs,Taux,Tp1,uacs_std,urs_std,up1_std,up2_std,nsubsamp,t_1s,t_line
2022 11 02 14:00:06 1667394006.12  997.5132 1054.5598 1047.7697 1047.4562 0.00  309.09  308.90  313.21  296.46  1.00  1.37  0.73  0.89  25 16.31 63.26
2022 11 02 14:00:06 1667394006.18  997.0620 1054.2410 1047.9395 1047.4494 0.00  309.09  308.90  313.21  296.77  0.86  0.81  1.18  0.64  25 15.85 62.83
2022 11 02 14:00:06 1667394006.24  997.2555 1054.7528 1048.3310 1047.4267 0.00  309.09  308.84  313.21  296.77  0.91  1.04  0.91  0.89  25 15.57 62.34
2022 11 02 14:00:06 1667394006.31  996.7577 1054.0741 1048.4156 1047.8514 0.00  309.09  308.84  313.21  296.77  1.04  0.76  0.80  0.94  25 15.84 62.63
2022 11 02 14:00:06 1667394006.37  996.8738 1054.9847 1048.2744 1047.8988 0.00  309.09  308.84  313.21  296.77  0.73  1.01  0.79  0.94  25 15.83 62.61
2022 11 02 14:00:06 1667394006.43  997.1083 1054.3292 1048.3079 1047.9778 0.00  309.09  308.84  313.21  296.77  1.08  1.02  1.10  0.90  25 15.87 62.58
2022 11 02 14:00:06 1667394006.50  997.0556 1054.4202 1048.5816 1047.5535 0.00  309.09  308.84  313.21  296.77  0.80  0.68  0.93  0.88  25 15.90 62.92
2022 11 02 14:00:06 1667394006.56  997.2335 1054.1043 1048.3152 1047.8638 0.00  309.09  308.84  313.21  296.77  1.05  0.68  1.17  0.88  25 15.84 62.58
2022 11 02 14:00:06 1667394006.62  996.4580 1054.2237 1048.2799 1047.9030 0.00  309.09  308.84  313.21  296.84  0.62  0.69  1.22  0.89  25 15.93 62.91
2022 11 02 14:00:06 1667394006.68  997.0166 1054.6679 1048.4336 1047.8137 0.00  309.09  308.84  313.15  296.84  0.89  1.10  0.55  1.02  25 15.87 62.94
2022 11 02 14:00:06 1667394006.75  997.1915 1054.5775 1048.7721 1047.7473 0.00  309.09  308.84  313.15  296.84  0.85  0.92  0.98  0.77  25 15.78 62.24
2022 11 02 14:00:06 1667394006.81  997.3262 1055.4350 1048.6448 1048.3474 0.00  309.09  308.84  313.15  296.84  1.08  1.12  0.61  0.86  25 15.94 64.61
2022 11 02 14:00:06 1667394006.88  997.8645 1055.0996 1048.4637 1048.0736 0.00  309.09  308.84  313.15  296.65  1.13  0.65  0.99  1.28  25 16.49 65.02
2022 11 02 14:00:06 1667394006.94  997.6942 1055.2228 1048.7473 1047.9888 0.00  309.09  308.84  313.21  296.65  0.71  0.71  0.84  1.09  25 16.30 63.85
2022 11 02 14:00:07 1667394007.00  997.4407 1054.8911 1049.1064 1047.8378 0.00  309.09  308.84  313.21  296.65  0.72  0.87  1.19  0.96  25 15.82 63.67
2022 11 02 14:00:07 1667394007.07  997.2139 1054.6544 1048.4321 1048.0330 0.00  309.09  308.84  313.21  296.65  0.94  0.85  0.81  0.93  25 15.75 63.58
2022 11 02 14:00:07 1667394007.13  997.3431 1054.5129 1048.9246 1047.7272 0.00  309.09  308.84  313.21  296.59  0.88  0.86  0.91  1.21  25 16.11 63.68
2022 11 02 14:00:07 1667394007.20  997.3547 1054.0810 1048.2840 1048.5106 0.00  309.09  308.84  313.21  296.59  0.84  0.80  0.99  1.03  25 16.07 63.98
2022 11 02 14:00:07 1667394007.26  997.6976 1054.8976 1048.7723 1048.1556 0.00  309.09  308.84  313.21  296.59  0.83  0.65  0.95  1.17  25 16.29 64.11
2022 11 02 14:00:07 1667394007.33  997.1538 1054.5715 1048.2866 1048.3618 0.00  309.09  308.84  313.21  296.59  1.19  1.16  1.09  0.77  25 16.31 64.12
2022 11 02 14:00:07 1667394007.39  997.2251 1054.2536 1048.4380 1048.5233 0.00  309.09  308.84  313.21  296.59  0.89  1.01  0.91  0.67  25 16.09 63.95
2022 11 02 14:00:07 1667394007.45  996.8663 1054.7484 1048.5349 1047.9879 0.00  309.02  308.84  313.21  296.59  0.96  0.99  1.14  1.02  25 16.28 63.86
2022 11 02 14:00:07 1667394007.52  997.1326 1054.3856 1048.3439 1047.7464 0.00  309.02  308.84  313.21  296.59  1.02  0.67  0.83  0.97  25 16.02 63.95
2022 11 02 14:00:07 1667394007.58  997.1903 1055.0150 1048.3959 1048.6973 0.00  309.02  308.84  313.21  296.65  0.60  0.81  0.73  1.23  25 16.30 64.11
2022 11 02 14:00:07 1667394007.65  997.0692 1054.6371 1048.3343 1047.6566 0.00  309.02  308.84  313.27  296.65  0.44  1.00  0.88  0.98  25 16.10 63.64
2022 11 02 14:00:07 1667394007.71  998.0408 1054.1317 1047.9433 1047.8868 0.00  309.02  308.84  313.27  296.65  0.74  1.02  0.62  1.29  25 16.02 63.99
2022 11 02 14:00:07 1667394007.78  997.5170 1054.6258 1048.5523 1048.2494 0.00  309.02  308.84  313.27  296.65  1.03  1.27  0.86  1.25  25 16.25 64.09
2022 11 02 14:00:07 1667394007.84  997.4625 1054.2181 1048.8133 1048.5801 0.00  309.02  308.84  313.27  296.65  1.13  0.86  0.89  0.80  25 16.22 64.14
2022 11 02 14:00:07 1667394007.90  997.7306 1055.2789 1048.2315 1048.3911 0.00  309.09  308.84  313.21  296.65  1.04  0.68  1.12  0.81  25 16.29 64.17
